Item,Item_ID,Category,Subcategory,Brand,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI,Match_Score
Running With Scissors,302.0,Music,Music - Miscellaneous,Weird Al Yankovic,Q2441748,Running with Scissors,"1999 studio album by ""Weird Al"" Yankovic",https://www.wikidata.org/entity/Q2441748,1
Schindler's List,219.0,Movies,Drama,Liam Neeson,Q483941,Schindler's List,1993 film directed by Steven Spielberg,https://www.wikidata.org/entity/Q483941,1
Schubert Volume 1,301.0,Music,Music - Miscellaneous,Classic,,,,,0
Sciatica Relief Handbook,82.0,Books,Sports & Health,Chet Cunningham,,,,,0
Scream,227.0,Movies,Horror,Drew Barrymore,Q27411,Scream,1996 film directed by Wes Craven,https://www.wikidata.org/entity/Q27411,1
Scream 2,230.0,Movies,Horror,David Arquette,Q270599,Scream 2,1997 film directed by Wes Craven,https://www.wikidata.org/entity/Q270599,1
Seal (94),274.0,Music,Alternative,Seal,,,,,0
Self-Management and Efficiency,90.0,Books,Business,Stephen Sacks,,,,,0
Sense and Sensibility,214.0,Movies,Drama,Emma Thompson,Q643263,Sense and Sensibility,1995 film directed by Ang Lee,https://www.wikidata.org/entity/Q643263,1
Sesame Street,255.0,Movies,Kids / Family,Muppets,Q155629,Sesame Street,"American children's television program, sometimes to teach ESL.",https://www.wikidata.org/entity/Q155629,0
"Sharp 13"" 2-Head TV/VCR",162.0,Electronics,TV's,Sharp,,,,,0
"Sharp 25"" Stereo Color TV",161.0,Electronics,TV's,Sharp,,,,,0
"Sharp 25"" TV/VCR Combo",160.0,Electronics,TV's,Sharp,,,,,0
"Sharp 32"" Color TV",163.0,Electronics,TV's,Sharp,,,,,0
Sharp Copier Toner,141.0,Electronics,Electronics - Miscellaneous,Sharp,,,,,0
Sharp DVD Player,177.0,Electronics,Video Equipment,Sharp,,,,,0
Sharp DVD/CD Player,178.0,Electronics,Video Equipment,Sharp,,,,,0
Sharp Hi-Fi Stereo Viewcam Camcorder,116.0,Electronics,Cameras,Sharp,,,,,0
Sharp Hi8 Viewcam Camcorder,117.0,Electronics,Cameras,Sharp,,,,,0
Sharp Internet Viewcam,118.0,Electronics,Cameras,Sharp,,,,,0
Sharp Mobilon TriPad Handheld PC,140.0,Electronics,Electronics - Miscellaneous,Sharp,,,,,0
Sharp VCR,179.0,Electronics,Video Equipment,Sharp,,,,,0
Sharp VCR+,180.0,Electronics,Video Equipment,Sharp,,,,,0
Simply The Best,357.0,Music,Soul / R&B,Tina Turner,Q1768671,Simply the Best,1991 compilation album by Tina Turner,https://www.wikidata.org/entity/Q1768671,2
Sixteen Stone,271.0,Music,Alternative,Bush,Q1931436,Sixteen Stone,1994 album by Bush,https://www.wikidata.org/entity/Q1931436,1
Sleepytime Songs,311.0,Music,Music - Miscellaneous,Barney,,,,,0
Small Soldiers,181.0,Movies,Action,Kirsten Dunst,Q1332263,Small Soldiers,1998 film directed by Joe Dante,https://www.wikidata.org/entity/Q1332263,1
Smart Choices,27.0,Books,Business,John S. Hammond,Q48504406,Smart choices for healthy families: a pilot study for the treatment of childhood obesity in low-income families,scientific article published on 3 January 2012,https://www.wikidata.org/entity/Q48504406,0
Something To Remember,328.0,Music,Pop,Madonna,Q180650,Something to Remember,1995 compilation album by Madonna,https://www.wikidata.org/entity/Q180650,2
Sony 100-Watt Receiver,105.0,Electronics,Audio Equipment,Sony,,,,,0
"Sony 32"" Trinitron Television",164.0,Electronics,TV's,Sony,,,,,0
"Sony 35"" Trinitron Television",165.0,Electronics,TV's,Sony,,,,,0
Sony Boombox with Digital Tuner,103.0,Electronics,Audio Equipment,Sony,,,,,0
Sony DVD Player w/Remote,173.0,Electronics,Video Equipment,Sony,,,,,0
Sony DVD/CD Player,172.0,Electronics,Video Equipment,Sony,,,,,0
Sony DVD/CD/Video Player,174.0,Electronics,Video Equipment,Sony,,,,,0
Sony Digital MiniDisc,104.0,Electronics,Audio Equipment,Sony,,,,,0
Sony Discman,102.0,Electronics,Audio Equipment,Sony,,,,,0
Sony Handycam Digital Recorder,119.0,Electronics,Cameras,Sony,,,,,0
Sony Handycam Video Camera,120.0,Electronics,Cameras,Sony,,,,,0
Sony Transportable DVD Player,175.0,Electronics,Video Equipment,Sony,,,,,0
Sony VCR,176.0,Electronics,Video Equipment,Sony,,,,,0
Soul Of A Woman,352.0,Music,Soul / R&B,Kelly Price,Q60740616,Soul of a Woman,album by Sharon Jones & The Dap-Kings,https://www.wikidata.org/entity/Q60740616,1
Souvenirs,300.0,Music,Country,Vince,Q16320865,Souvenirs,original song written and composed by Cy Coben; originally recorded by Barbara Evans,https://www.wikidata.org/entity/Q16320865,2
Starting Over,296.0,Music,Country,"Mcentire, Reba",Q102434704,Starting Over,2020 studio album by Chris Stapleton,https://www.wikidata.org/entity/Q102434704,1
Step Into Ballet,265.0,Movies,Special Interests,Wayne Sleep,,,,,0
Strait Out Of The Box,289.0,Music,Country,George Strait,Q7621141,Strait Out of the Box,1995 box set by George Strait,https://www.wikidata.org/entity/Q7621141,0
Stretch Book,80.0,Books,Sports & Health,Jim Wharton,,,,,0
Stripped,335.0,Music,Rock,Rolling Stones,Q949181,Stripped,1986 single by Depeche Mode,https://www.wikidata.org/entity/Q949181,2
Strong Enough,286.0,Music,Country,Blackhawk,Q954780,Strong Enough,"song written and composed by Mark Taylor and Paul Barry, originally recorded by Cher and released in 1999",https://www.wikidata.org/entity/Q954780,2
Stunt,345.0,Music,Rock,Barenaked Ladies,Q1524751,Albán,Colombian municipality of the department of Nariño,https://www.wikidata.org/entity/Q1524751,1
Supernatural,339.0,Music,Rock,Santana,Q12004048,Supernatural,1993 studio album by Gunnar Andreas Berg,https://www.wikidata.org/entity/Q12004048,1
Swingers,209.0,Movies,Comedy,Vince Vaughn,Q2062140,Swingers,1996 film by Doug Liman,https://www.wikidata.org/entity/Q2062140,1
Synkronized,347.0,Music,Soul / R&B,Jamiroquai,Q933267,Synkronized,1999 studio album by Jamiroquai,https://www.wikidata.org/entity/Q933267,1
Tae-Bo Workout,268.0,Movies,Special Interests,Billy Blanks,,,,,0
Tails,273.0,Music,Alternative,"Loeb, Lisa",Q2801412,Tails,Linux distribution for anonymity and privacy,https://www.wikidata.org/entity/Q2801412,0
Take My Hand,315.0,Music,Music - Miscellaneous,Winnie The Pooh,Q16612076,Take My Hand,2008 single by Simple Plan,https://www.wikidata.org/entity/Q16612076,1
Test Your Baseball IQ,46.0,Books,Books - Miscellaneous,Dean Mathewson,,,,,0
Test Your History I.Q.,51.0,Books,Books - Miscellaneous,Thomas Carlyle,,,,,0
Test Your Own IQ Again,54.0,Books,Books - Miscellaneous,Norman Sullivan,,,,,0
The 48 Laws of Power,18.0,Books,Business,Joost Elffers,Q126124243,The 48 Laws of Power,2000 Penguin Books paperback edition,https://www.wikidata.org/entity/Q126124243,1
The African Queen,189.0,Movies,Action,Humphrey Bogart,Q384397,The African Queen,1951 film by John Huston,https://www.wikidata.org/entity/Q384397,1
The Avengers,191.0,Movies,Action,Patrick MacNee,Q182218,The Avengers,2012 film directed by Joss Whedon,https://www.wikidata.org/entity/Q182218,1
The Beatles Anthology,326.0,Music,Pop,The Beatles,Q1753618,Anthology 1,1995 compilation album by The Beatles,https://www.wikidata.org/entity/Q1753618,2
The Boy Is Mine,355.0,Music,Soul / R&B,Monica,Q1088774,The Boy Is Mine,song performed by Brandy & Monica,https://www.wikidata.org/entity/Q1088774,1
The Catcher in the Rye,36.0,Books,Literature,J. D. Salinger,Q183883,The Catcher in the Rye,1951 novel by J. D. Salinger,https://www.wikidata.org/entity/Q183883,1
The Complete Prose of Woody Allen,53.0,Books,Books - Miscellaneous,Woody Allen,Q5793831,The Complete Prose,short story collection by Woody Allen,https://www.wikidata.org/entity/Q5793831,0
The Doors,331.0,Music,Rock,AC/DC,Q66619461,The Doors albums discography,Wikimedia albums discography,https://www.wikidata.org/entity/Q66619461,1
The Evolution of Useful Things,73.0,Books,Science & Technology,Henry Petroski,Q132751144,The Evolution of Useful Things,journal article from 'Technology and Culture' published in 1994,https://www.wikidata.org/entity/Q132751144,0
The Exorcist,234.0,Movies,Horror,Ellen Burstyn,Q274167,The Exorcist,1973 film directed by William Friedkin,https://www.wikidata.org/entity/Q274167,1
The Fountainhead,32.0,Books,Literature,Ayn Rand,Q612688,The Fountainhead,novel by Ayn Rand,https://www.wikidata.org/entity/Q612688,1
The Four Seasons,308.0,Music,Music - Miscellaneous,Antonio Vivaldi,Q1395699,The Four Seasons,set of four paintings by Giuseppe Arcimboldo,https://www.wikidata.org/entity/Q1395699,1
The Full Monty,200.0,Movies,Comedy,Robert Carlyle,Q775970,The Full Monty,1997 film directed by Peter Cattaneo,https://www.wikidata.org/entity/Q775970,1
The Gospel Box,314.0,Music,Music - Miscellaneous,Various Artists,,,,,0
The Horse Whisperer,218.0,Movies,Drama,Robert Redford,Q1127424,The Horse Whisperer,1998 film by Robert Redford,https://www.wikidata.org/entity/Q1127424,1
The Hustler,224.0,Movies,Drama,Paul Newman,Q1130084,The Hustler,1961 film by Robert Rossen,https://www.wikidata.org/entity/Q1130084,1
The Infinite Sadness,275.0,Music,Alternative,Smashing Pumpkins,,,,,0
The Joy of Work,29.0,Books,Business,Scott Adams,Q7743722,The Joy of Work,book by Scott Adams,https://www.wikidata.org/entity/Q7743722,1
The Jungle Book,248.0,Movies,Kids / Family,Sebastian Cabot,Q16857406,The Jungle Book,2016 film directed by Jon Favreau,https://www.wikidata.org/entity/Q16857406,1
The Lion King,246.0,Movies,Kids / Family,Matthew Broderick,Q106476107,The Lion King film score,"film score composed by Elton John and Hans Zimmer, lyrics by Tim Rice; from Disney's 1994 animated feature film ""The Lion King",https://www.wikidata.org/entity/Q106476107,1
The Little Mermaid,245.0,Movies,Kids / Family,Jodi Benson,Q190135,The Little Mermaid,1989 animated film directed by John Musker and Ron Clements,https://www.wikidata.org/entity/Q190135,1
The Lost Boys,228.0,Movies,Horror,Jason Patric,Q506403,The Lost Boys,"1987 film by Joel Schumacher, Richard Donner",https://www.wikidata.org/entity/Q506403,1
The Mask of Zorro,182.0,Movies,Action,Antonio Banderas,Q309621,The Mask of Zorro,1998 film directed by Martin Campbell,https://www.wikidata.org/entity/Q309621,1
The Memory Of Trees,306.0,Music,Music - Miscellaneous,Enya,Q1088657,The Memory of Trees,1995 studio album by Irish musician Enya,https://www.wikidata.org/entity/Q1088657,1
The Muppet Movie,253.0,Movies,Kids / Family,Edgar Bergen,Q1518589,The Muppet Movie,1979 film directed by James Frawley,https://www.wikidata.org/entity/Q1518589,1
The New Fit or Fat,83.0,Books,Sports & Health,Covert Bailey,,,,,0
The Object Of My Affection,199.0,Movies,Comedy,Jennifer Aniston,Q1545178,The Object of My Affection,1998 film by Nicholas Hytner,https://www.wikidata.org/entity/Q1545178,1
The Old Man and the Sea,33.0,Books,Literature,Ernest Hemingway,Q26505,The Old Man and the Sea,"1952 short novel by Ernest Hemingway, written between December 1950 and February 1951",https://www.wikidata.org/entity/Q26505,1
The Omen,231.0,Movies,Horror,Gregory Peck,Q836298,The Omen,1976 film directed by Richard Donner,https://www.wikidata.org/entity/Q836298,1
The Opera Album,305.0,Music,Music - Miscellaneous,Giuseppe Verdi,,,,,0
The Painted Word,3.0,Books,Art & Architecture,Tom Wolfe,Q7755908,The Painted Word,book by Tom Wolfe,https://www.wikidata.org/entity/Q7755908,1
The Parent Trap,252.0,Movies,Kids / Family,Dennis Quaid,Q1217234,The Parent Trap,1961 film by David Swift,https://www.wikidata.org/entity/Q1217234,1
The Picture of Dorian Gray,232.0,Movies,Horror,Hurd Hatfield,Q1167302,The Picture of Dorian Gray,1976 television film,https://www.wikidata.org/entity/Q1167302,2
The Power to Get in,24.0,Books,Business,Michael A. Boylan,,,,,0
The Prince,31.0,Books,Literature,Niccolo Machiavelli,Q152245,Prince Albert of Saxe-Coburg and Gotha,Consort of Queen Victoria from 1840 to 1861 (1819–1861),https://www.wikidata.org/entity/Q152245,0
The Princess Bride,198.0,Movies,Comedy,Cary Elwes,Q506418,The Princess Bride,1987 film directed by Rob Reiner,https://www.wikidata.org/entity/Q506418,1
The Rugrats Movie,241.0,Movies,Kids / Family,Clamshell,Q857211,The Rugrats Movie,1998 American film directed by Igor Kovalyov and Norton Virgien,https://www.wikidata.org/entity/Q857211,1
The Rules for Cats,50.0,Books,Books - Miscellaneous,Susan Waggoner,,,,,0
The Scarlet Pimpernel,188.0,Movies,Action,Anthony Andrews,Q3224830,The Scarlet Pimpernel,1934 film by Harold Young,https://www.wikidata.org/entity/Q3224830,1
The Secrets of Happiness,257.0,Movies,Special Interests,Christy Lane,,,,,0
The Shining,233.0,Movies,Horror,Jack Nicholson,Q186341,The Shining,1980 film directed by Stanley Kubrick,https://www.wikidata.org/entity/Q186341,1
The Thin Red Line,42.0,Books,Literature,James Jones,Q4348077,The Thin Red Line,novel by James Jones,https://www.wikidata.org/entity/Q4348077,1
The Truman Show,206.0,Movies,Comedy,Jim Carrey,Q214801,The Truman Show,1998 film directed by Peter Weir,https://www.wikidata.org/entity/Q214801,1
The Velvet Rope,354.0,Music,Soul / R&B,Janet Jackson,Q777308,The Velvet Rope,1997 studio album by Janet Jackson,https://www.wikidata.org/entity/Q777308,1
The Wedding Singer,201.0,Movies,Comedy,Adam Sandler,Q1133316,The Wedding Singer,1998 film by Frank Coraci,https://www.wikidata.org/entity/Q1133316,1
The Weight of Water,38.0,Books,Literature,Anita Shreve,Q17109200,The Weight of Water,1997 novel by Anita Shreve,https://www.wikidata.org/entity/Q17109200,1
The Wisdom of Teams,23.0,Books,Business,Jon R. Katzenbach,,,,,0
The Woman In Me,299.0,Music,Country,"Twain, Shania",Q7775536,The Woman in Me,1982 Donna Summer single/song,https://www.wikidata.org/entity/Q7775536,2
The Year Without a Santa Claus,254.0,Movies,Kids / Family,Mickey Rooney,Q1254492,The Year Without a Santa Claus,2006 television film,https://www.wikidata.org/entity/Q1254492,2
Thriller,330.0,Music,Pop,Tlc,Q44320,Thriller,1982 studio album by Michael Jackson,https://www.wikidata.org/entity/Q44320,1
Throwing Copper,272.0,Music,Alternative,Live,Q2315935,Throwing Copper,1994 album by Live,https://www.wikidata.org/entity/Q2315935,1
Tigerlily,282.0,Music,Alternative,"Merchant, Natalie",Q2019052,Tigerlily,1995 album by Natalie Merchant,https://www.wikidata.org/entity/Q2019052,1
Time Marches On,298.0,Music,Country,"Lawrence, Tracy",Q7805047,Time Marches On,album by Tracy Lawrence,https://www.wikidata.org/entity/Q7805047,1
Titanic,217.0,Movies,Drama,Leonardo Di Caprio,Q44578,Titanic,1997 film by James Cameron,https://www.wikidata.org/entity/Q44578,1
To Engineer Is Human,74.0,Books,Science & Technology,Henry Petroski,Q126236453,"To engineer is human, H. Petrovski, Macmillan. 1985 (UK). (Previously published by St. Martin's Press. New York 1982). Number of pages: 247. Price: £12.95",scholarly article,https://www.wikidata.org/entity/Q126236453,0
To Kill a Mockingbird,45.0,Books,Literature,Harper Lee,Q212340,To Kill a Mockingbird,novel by Harper Lee,https://www.wikidata.org/entity/Q212340,1
Tool Box,294.0,Music,Country,Aaron Tippin,Q7824042,Tool Box,1995 studio album by Aaron Tippin,https://www.wikidata.org/entity/Q7824042,1
Topgrading,20.0,Books,Business,Bradford D. Smart,Q25304186,Topgrading,Corporate hiring and interviewing methodology,https://www.wikidata.org/entity/Q25304186,0
Ulysses,43.0,Books,Literature,James Joyce,Q6511,Ulysses,1922 novel by James Joyce,https://www.wikidata.org/entity/Q6511,1
Vanishing Point,183.0,Movies,Action,Barry Newman,Q586880,Vanishing Point,1971 film by Richard C. Sarafian,https://www.wikidata.org/entity/Q586880,1
Voyaging Under Power,15.0,Books,Art & Architecture,Robert P. Beebe,,,,,0
Waiting to Exhale: The Soundtrack,325.0,Music,Pop,Waiting To Exhale,,,,,0
Wall Street,223.0,Movies,Drama,Michael Douglas,Q332348,Wall Street,1987 film directed by Oliver Stone,https://www.wikidata.org/entity/Q332348,1
Ways of Seeing,10.0,Books,Art & Architecture,John Berge,Q14479917,Ways of Seeing,book by John Berger,https://www.wikidata.org/entity/Q14479917,1
Whaler,321.0,Music,Pop,Sophie B. Hawkins,Q7990533,Whaler,album by Sophie B. Hawkins,https://www.wikidata.org/entity/Q7990533,1
When Food Is Love,84.0,Books,Sports & Health,Geneen Roth,,,,,0
Why Weight?,88.0,Books,Sports & Health,Geneen Roth,Q80159556,Why weight?,scientific article published on 13 March 2007,https://www.wikidata.org/entity/Q80159556,0
Working With Emotional Intelligence,16.0,Books,Business,Daniel Goleman,Q137916259,Working With Emotional Intelligence,ebook edition,https://www.wikidata.org/entity/Q137916259,1
Xerox Workcentre 385,142.0,Electronics,Electronics - Miscellaneous,Xerox,,,,,0
Xerox XD / XL Series Toner Cartridge,143.0,Electronics,Electronics - Miscellaneous,Xerox,,,,,0
Xerox XE Series Toner Cartridge,144.0,Electronics,Electronics - Miscellaneous,Xerox,,,,,0
You've Got Mail,203.0,Movies,Comedy,Tom Hanks,Q284229,You've Got Mail,1998 film by Nora Ephron,https://www.wikidata.org/entity/Q284229,1
Your Little Secret,333.0,Music,Rock,Melissa Etheridge,Q8058841,Your Little Secret,1995 studio album by Melissa Etheridge,https://www.wikidata.org/entity/Q8058841,1
