Brand,Brand_ID,Category,Subcategory,Wikidata_ID,Wikidata_Label,Wikidata_Description,Wikidata_URI
Simply Red,470.0,Music,Pop,Q339430,Simply Red,British soul band,https://www.wikidata.org/entity/Q339430
Smashing Pumpkins,471.0,Music,Alternative,Q184217,The Smashing Pumpkins,American alternative rock band,https://www.wikidata.org/entity/Q184217
Sony,215.0,Electronics,Audio Equipment,Q41187,Sony Group,Japanese multinational conglomerate corporation,https://www.wikidata.org/entity/Q41187
Sophie B. Hawkins,472.0,Music,Pop,Q292092,Sophie B. Hawkins,American singer,https://www.wikidata.org/entity/Q292092
Sound Effects,473.0,Music,Music - Miscellaneous,Q768807,sound effect,"artificially created or enhanced sounds, or sound processes used to emphasize artistic or other content of films, television shows, live performance, animation, video games, music, or other media",https://www.wikidata.org/entity/Q768807
Springsteen,474.0,Music,Rock,Q21475355,Springsteen,family name,https://www.wikidata.org/entity/Q21475355
Stephanie Hoppen,172.0,Books,Art & Architecture,Q114330365,Stephanie Höppener,researcher,https://www.wikidata.org/entity/Q114330365
Stephen Baker,173.0,Books,Books - Miscellaneous,Q2344550,Stephen Baker,American politician (1819-1875),https://www.wikidata.org/entity/Q2344550
Stephen Sacks,174.0,Books,Business,Q116672586,Stephen Sacks,"Communications Department, IMF",https://www.wikidata.org/entity/Q116672586
Sterling Holloway,375.0,Movies,Kids / Family,Q725507,Sterling Holloway,American actor (1905–1992),https://www.wikidata.org/entity/Q725507
Steve McQueen,376.0,Movies,Action,Q706475,Steve McQueen,British film director and video artist (born 1969),https://www.wikidata.org/entity/Q706475
Stevie Wonder,475.0,Music,Soul / R&B,Q714,Stevie Wonder,"American and Ghanaian singer-songwriter, composer and record producer (born 1950)",https://www.wikidata.org/entity/Q714
Susan Waggoner,175.0,Books,Books - Miscellaneous,--,no direct Wikidata match,--,--
Suzanne Schlosberg,176.0,Books,Sports & Health,--,no direct Wikidata match,--,--
Suze Orman,377.0,Movies,Special Interests,Q465633,Suze Orman,"American author, television personality, motivational speaker, businesswoman, investor",https://www.wikidata.org/entity/Q465633
Take That,476.0,Music,Pop,Q152066,Take That,British five-piece vocal pop group,https://www.wikidata.org/entity/Q152066
The Beatles,413.0,Music,Pop,Q1299,The Beatles,English pop rock band (1960–1970),https://www.wikidata.org/entity/Q1299
The Eagles,477.0,Music,Rock,Q189635,Eagles,American country rock band,https://www.wikidata.org/entity/Q189635
Thomas Carlyle,177.0,Books,Books - Miscellaneous,Q151403,Thomas Carlyle,"Scottish essayist, historian and philosopher (1795–1881)",https://www.wikidata.org/entity/Q151403
Thomas E. Vollmann,178.0,Books,Science & Technology,Q29344,William T. Vollmann,"Novelist, short story writer, essayist",https://www.wikidata.org/entity/Q29344
Thomas P. Hughes,179.0,Books,Science & Technology,Q3525467,Thomas P. Hughes,American historian,https://www.wikidata.org/entity/Q3525467
Tina Turner,478.0,Music,Soul / R&B,Q131814,Tina Turner,American-born Swiss singer and songwriter (1939–2023),https://www.wikidata.org/entity/Q131814
Tlc,479.0,Music,Pop,Q742804,TLC,American girl group,https://www.wikidata.org/entity/Q742804
Tom Cruise,378.0,Movies,Horror,Q37079,Tom Cruise,American actor and producer (born 1962),https://www.wikidata.org/entity/Q37079
Tom Hanks,379.0,Movies,Action,Q2263,Tom Hanks,American actor and film producer (born 1956),https://www.wikidata.org/entity/Q2263
Tom Wolfe,180.0,Books,Art & Architecture,Q216195,Tom Wolfe,American author and journalist (1930–2018),https://www.wikidata.org/entity/Q216195
Tracy Chapman,480.0,Music,Pop,Q187814,Tracy Chapman,American singer-songwriter,https://www.wikidata.org/entity/Q187814
"Twain, Shania",481.0,Music,Country,Q131433,Shania Twain,Canadian country music singer and songwriter (born 1965),https://www.wikidata.org/entity/Q131433
Various Artists,482.0,Music,Music - Miscellaneous,Q3108914,various artists,"special purpose performer (P175) credit used for compilations, tribute albums, soundtracks, etc.",https://www.wikidata.org/entity/Q3108914
Vince,483.0,Music,Country,Q215561,Vince Gill,American country musician,https://www.wikidata.org/entity/Q215561
Vince Vaughn,380.0,Movies,Comedy,Q107730,Vince Vaughn,American actor (born 1970),https://www.wikidata.org/entity/Q107730
Vladimir Vladimirovich,182.0,Books,Literature,Q132964,Vladimir Mayakovsky,Russian and Soviet poet (1893–1930),https://www.wikidata.org/entity/Q132964
Waiting To Exhale,484.0,Music,Pop,Q736254,Waiting to Exhale,1995 film,https://www.wikidata.org/entity/Q736254
Wayne Sleep,381.0,Movies,Special Interests,Q7976619,Wayne Sleep,British ballet dancer,https://www.wikidata.org/entity/Q7976619
Weird Al Yankovic,485.0,Music,Music - Miscellaneous,Q8349,"""Weird Al"" Yankovic",American comedy musician and actor (born 1959),https://www.wikidata.org/entity/Q8349
Wesley Snipes,382.0,Movies,Action,Q110722652,list of Wesley Snipes performances,filmography of American actor Wesley Snipes,https://www.wikidata.org/entity/Q110722652
White Zombie,486.0,Music,Rock,Q740623,White Zombie,American heavy metal band,https://www.wikidata.org/entity/Q740623
"White, Bryan",487.0,Music,Country,Q112546767,Bryan White,,https://www.wikidata.org/entity/Q112546767
Whitney Houston,488.0,Music,Soul / R&B,Q34389,Whitney Houston,"American singer, actress, and film producer (1963–2012)",https://www.wikidata.org/entity/Q34389
Will Smith,489.0,Music,Soul / R&B,Q40096,Will Smith,"American actor, film producer and rapper (born 1968)",https://www.wikidata.org/entity/Q40096
William Bridges,183.0,Books,Business,Q1742896,William Bridges,Australian general (1861–1915),https://www.wikidata.org/entity/Q1742896
William Gerald Golding,184.0,Books,Literature,Q44183,William Golding,"British novelist, poet, playwright and Nobel Prize for Literature laureate (1911–1993)",https://www.wikidata.org/entity/Q44183
William L. Petersen,383.0,Movies,Action,Q311892,William Petersen,American actor,https://www.wikidata.org/entity/Q311892
Winnie The Pooh,490.0,Music,Music - Miscellaneous,Q188574,Winnie the Pooh,fictional character created by A. A. Milne,https://www.wikidata.org/entity/Q188574
Woody Allen,185.0,Books,Books - Miscellaneous,Q25089,Woody Allen,"American filmmaker, actor and comedian (born 1935)",https://www.wikidata.org/entity/Q25089
Xerox,216.0,Electronics,Electronics - Miscellaneous,Q152433,Xerox,American document management corporation,https://www.wikidata.org/entity/Q152433
Young,186.0,Books,Science & Technology,--,no direct Wikidata match,--,--
